Date,LocCode,NetSales,LocName,Category
31-08-2024,STH-SEL-025,223.3,Koppiku South City Plaza,Mall
31-08-2024,TAY-SEL-020,216.7,Koppiku Taylors Lakeside,Education
31-08-2024,UIA-KUL-021,77.9,Koppiku International Islamic University Malaysia,Education
31-08-2024,VIV-KUL-023,101.9,Koppiku Vivo,Mall
01-09-2024,AMP-SEL-027,1814.4,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
01-09-2024,ASA-SEL-017,1237.6,Koppiku AEON Big Shah Alam,Mall
01-09-2024,BKP-KUL-018,142.1,Koppiku BHP Kepong,Transportation
01-09-2024,DM3-SEL-028,688.5,Koppiku Damansara 3,Mall
01-09-2024,JAY-SEL-014,637.4,Koppiku Jaya One,Mall
01-09-2024,STH-SEL-025,199.4,Koppiku South City Plaza,Mall
01-09-2024,TAY-SEL-020,247.5,Koppiku Taylors Lakeside,Education
01-09-2024,UIA-KUL-021,228.1,Koppiku International Islamic University Malaysia,Education
01-09-2024,VIV-KUL-023,58.8,Koppiku Vivo,Mall
02-09-2024,AMP-SEL-027,713,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
02-09-2024,ASA-SEL-017,588.1,Koppiku AEON Big Shah Alam,Mall
02-09-2024,BKP-KUL-018,92.6,Koppiku BHP Kepong,Transportation
02-09-2024,DM3-SEL-028,464.1,Koppiku Damansara 3,Mall
02-09-2024,JAY-SEL-014,675.87,Koppiku Jaya One,Mall
02-09-2024,LBR-KUL-CO-009,252.8,Koppiku Liberal Latte,Commercial
02-09-2024,STH-SEL-025,430.1,Koppiku South City Plaza,Mall
02-09-2024,TAY-SEL-020,1801.3,Koppiku Taylors Lakeside,Education
02-09-2024,UIA-KUL-021,827.9,Koppiku International Islamic University Malaysia,Education
02-09-2024,VIV-KUL-023,380.9,Koppiku Vivo,Mall
03-09-2024,AMP-SEL-027,532.2,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
03-09-2024,ASA-SEL-017,775.6,Koppiku AEON Big Shah Alam,Mall
03-09-2024,BKP-KUL-018,111.8,Koppiku BHP Kepong,Transportation
03-09-2024,DM3-SEL-028,499.3,Koppiku Damansara 3,Mall
03-09-2024,JAY-SEL-014,1052.83,Koppiku Jaya One,Mall
03-09-2024,LBR-KUL-CO-009,356.32,Koppiku Liberal Latte,Commercial
03-09-2024,STH-SEL-025,571.1,Koppiku South City Plaza,Mall
03-09-2024,TAY-SEL-020,1931.3,Koppiku Taylors Lakeside,Education
03-09-2024,UIA-KUL-021,1145.2,Koppiku International Islamic University Malaysia,Education
03-09-2024,VIV-KUL-023,293.8,Koppiku Vivo,Mall
04-09-2024,AMP-SEL-027,543.2,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
04-09-2024,ASA-SEL-017,451.9,Koppiku AEON Big Shah Alam,Mall
04-09-2024,BKP-KUL-018,173.5,Koppiku BHP Kepong,Transportation
04-09-2024,DM3-SEL-028,352.3,Koppiku Damansara 3,Mall
04-09-2024,JAY-SEL-014,647.6,Koppiku Jaya One,Mall
04-09-2024,LBR-KUL-CO-009,327.7,Koppiku Liberal Latte,Commercial
04-09-2024,PMK-KUL-001,2064.7,Koppiku Plaza Mont Kiara,Mix
04-09-2024,STH-SEL-025,580.5,Koppiku South City Plaza,Mall
04-09-2024,TAY-SEL-020,1874.5,Koppiku Taylors Lakeside,Education
04-09-2024,UIA-KUL-021,1332.71,Koppiku International Islamic University Malaysia,Education
04-09-2024,VIV-KUL-023,495.1,Koppiku Vivo,Mall
05-09-2024,AMP-SEL-027,735.8,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
05-09-2024,ASA-SEL-017,657.4,Koppiku AEON Big Shah Alam,Mall
05-09-2024,BKP-KUL-018,50.4,Koppiku BHP Kepong,Transportation
05-09-2024,DM3-SEL-028,385.2,Koppiku Damansara 3,Mall
05-09-2024,JAY-SEL-014,618.9,Koppiku Jaya One,Mall
05-09-2024,LBR-KUL-CO-009,241.7,Koppiku Liberal Latte,Commercial
05-09-2024,MR2-KUL-015,272.6,Koppiku BHP MRR2,Commercial
05-09-2024,PMK-KUL-001,2314.7,Koppiku Plaza Mont Kiara,Mix
05-09-2024,SSQ-SEL-002,865.75,Koppiku Subang Square,Mix
05-09-2024,STH-SEL-025,335.7,Koppiku South City Plaza,Mall
05-09-2024,TAY-SEL-020,1283.5,Koppiku Taylors Lakeside,Education
05-09-2024,UIA-KUL-021,1250.6,Koppiku International Islamic University Malaysia,Education
05-09-2024,VIV-KUL-023,551.3,Koppiku Vivo,Mall
06-09-2024,AMP-SEL-027,807.7,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
06-09-2024,ASA-SEL-017,738.8,Koppiku AEON Big Shah Alam,Mall
06-09-2024,BKP-KUL-018,60.5,Koppiku BHP Kepong,Transportation
